banco,"CCB 
","CCF 
","ICAP 
"
Banco Bineo,259.95,259.95,259.95
Credit Suisse,206.95,206.95,206.95
Revolut Bank ,141.58,141.58,141.58
Banco S3,137.78,137.78,137.78
Pagatodo,120.83,120.83,120.83
Mizuho Bank,86.11,86.11,86.11
Banfeliz (Antes Forjadores),74.11,74.11,74.11
BNP Paribas México,68.85,68.85,68.85
Bank of China,46.70,46.70,46.74
J.P. Morgan,45.25,45.25,45.25
MUFG Bank,43.77,43.77,43.77
KEB Hana México,43.26,43.26,43.29
Shinhan,41.80,41.80,41.80
Compartamos,32.33,32.33,32.33
Banco Ualá,31.53,31.53,31.53
Openbank México,29.23,29.23,29.23
Intercam Banco,26.98,26.98,26.98
ICBC,26.02,19.19,26.02
Dondé Banco,25.69,25.69,25.69
Volkswagen Bank,24.98,24.98,24.98
Bansí,24.67,24.67,24.67
Citi México,24.38,24.38,24.38
Inbursa,23.25,23.25,23.25
Banco Base,23.13,23.13,23.13
Banamex,21.43,19.06,21.43
Barclays,21.02,21.02,21.02
Scotiabank,21.01,18.32,21.02
Banco Plata,20.67,20.67,20.67
BBVA México,16.50,16.50,20.14
HSBC,13.30,13.30,19.80
Santander,15.14,13.83,19.78
Banorte,19.34,12.75,19.74
Monex,19.65,19.65,19.65
Bank of America,19.02,19.02,19.02
Banca Mifel,17.03,17.03,17.14
BIAfirme,11.61,11.61,17.09
Actinver,16.90,16.90,16.90
Multiva,13.54,13.54,16.58
Banco del Bajío,15.99,15.99,15.99
Inmobiliario Mexicano,12.56,12.56,15.96
Afirme,11.58,10.51,15.74
Banco Azteca,15.05,15.05,15.54
Invex,15.19,15.19,15.19
Banregio,15.06,15.06,15.06
Hey Banco,14.77,14.77,14.77
BanCoppel,14.57,14.57,14.57
Ve por Más,14.57,14.57,14.57
Sabadell,14.39,14.39,14.50
Kapital (Antes Autofin),13.99,13.99,13.99
Consubanco,13.76,10.01,13.76
Bancrea,10.95,10.38,13.51
Bankaool,13.32,13.32,13.32
Banco Covalto,13.17,13.17,13.17
